domain,status,affected_row_count
ecolemontessoriparis.fr,live,1
ectorcountyisd.org,live,1
ed.act.edu.au,live,1
edelsol.org,live,1
edleun.com,live,1
eduard-dietrich-schule.ratingen.de,live,1
educacionbogota.edu.co,live,1
educastillalamancha.es,live,2
educatememontessori.com.au,live,1
education.vic.gov.au,live,3
educationformadagascar.org,live,1
educavis.com,live,1
educomontessori.es,live,1
edumail.vic.gov.au,live,2
edumarevpr.nl,live,1
edumart.com,live,1
eerstemontessori.nl,live,1
efwma.org,live,1
ege-annaberg.de,live,2
eiciudadjardin.com,live,1
eilanden.espritscholen.nl,live,1
einsteinschool.nl,live,1
eircom.net,live,1
eitzchaim.com,live,1
ejska.de,live,1
ekmontessori.com.au,live,1
elckerlyc.net,live,1
eldoradomontessori.com,live,1
elementsmontessori.com,live,1
elementsmontessorischools.com,live,1
elevenschool.com,live,1
elfmontessori.co.za,live,2
elimattamontessori.com.au,live,1
elizabethacademy.com,live,1
elkb.de,live,2
ellijaymontessori.com,live,1
ellingtonmontessori.com,dead,1
ellipsema.com,live,1
elmcitymontessori.org,live,1
elmclavington.com,dead,1
elmsschool.co.uk,live,1
email.com,live,1
email.it,live,1
emepalaiseau.fr,dead,1
emi-paris.com,live,2
emile-montessori.de,live,2
emitanger.com,live,1
emma-gosier.fr,dead,1
emmi91.fr,live,1
empirepreschool.com,live,1
ems.nsw.edu.au,live,1
emsmontessori.org,live,2
encyclopedia-school-montessori.fr,live,1
enfieldmontessorischool.org,live,1
engels-kirchen.de,live,1
enms.nl,live,1
enrichearlyeducation.com.au,live,1
episd.org,live,2
epm.education,live,1
epsb.com,live,1
eq.edu.au,live,1
erdkinder.de,live,2
erpsk12.org,live,1
errigalcreche.com,live,1
escolanatura.com,live,1
escuelalibreallegra.es,live,1
escuelamontessorimadrid.com,live,1
espacioeducativoalmamontessori.es,live,1
espacioinfantilarganzuela.com,live,1
espritschool.com,live,1
essington.nt.edu.au,live,1
estrellitasdc.com,live,1
etonschool.org,live,1
euadotomontessori.com,live,1
eucalyptusmontessori.com.au,live,1
ev-kirche-wahlscheid.de,live,1
evangelische-gemeinschaftsschule-erfurt.de,live,1
evergreenschool.com,live,1
evsig.de,live,2
ewmm.nl,live,1
explorersschoolsgh.com,live,1
eyasmontessori.com,live,1
eyebytes.com,live,1
fairviewglen.com,live,1
fairviewmontessori.com,live,1
faithms.edu.gh,live,1
famformatis.de,live,2
familientreff-gerlingen.de,live,1
familystar.net,live,2
farmhousemontessori.nsw.edu.au,live,1
farmschool.xyz,live,1
fawz.de,live,4
fcm.nz,live,2
fcps.edu,live,1
fcps.org,live,2
fcusd.org,live,1
fellow.bes.org,live,1
ferndalemontessori.com,live,1
ferndaleschools.org,live,1
fernwoodmontessori.com,live,1
fgs-freiberg.de,live,1
ficino.school.nz,live,1
firelandsmontessori.org,live,2
firststepsnursery.com,live,1
fishtownmontessori.com,live,1
fjacademy.com,live,1
flagmontessori.com,live,1
fletcherelc.com.au,live,1
flintschools.org,live,1
floresonderwijs.nl,live,2
fmacademy.ca,live,1
fms.org,live,1
focomontessori.org,live,1
fondazionepatriziopaoletti.org,live,1
fondazionepiranicremona.it,live,1
foothillsmontessori.com,live,1
forestbluffschool.org,live,1
forestparkmontessori.org,live,1
forestvillemontessori.nsw.edu.au,live,1
fortior.nl,live,1
fos-montessori-kronach.de,live,1
fos.montessori-landshut.de,live,1
foundationsmontessori.ca,live,1
fountainmontessori.com,live,3
foxvalleymontessori.org,live,2
fpcconcord.org,live,1
fpcharter.org,live,1
fpcosms.com,live,1
franklinmontessori.com,live,1
franziska-aachen.de,live,1
fraserwoods.com,live,1
frederickmontessori.com,live,1
free.fr,live,2
freedommontessori.org,live,1
freie-schule-angermuende.de,live,2
freie-schule-eifel.de,live,1
freie-schule-guestrow.de,live,1
freieschulelindau.de,live,1
frenchmaternalschool.com,live,1
freudbergschule.de,live,1
friendshipmontessori.org,live,1
frontier.com,live,2
fsd1.org,live,4
fsd2.org,live,1
fsdbk12.org,live,1
fsma.k12.de.us,live,1
fsmontessori.com,live,1
ftc-i.net,live,1
fujairahmontessori.com,live,1
fullcirclemontessori.com,live,1
fundacionmontessori.org,live,1
fvmontessori.com,live,1
fwcs.k12.in.us,live,2
fwisd.org,live,1
gardencitymontessori.com,live,1
gardengatemontessori.com,live,1
gardenmontessorischool.org,live,1
garlandisd.net,live,2
gateway.edu.eg,live,1
gatewaymontessori.org,live,1
gatewaymontessorischool.net,live,1
gbmontessori.com,live,2
gcsnc.com,live,1
gemeinde-nobitz.de,live,1
georgetownmontessori.org,live,1
gettysburgmontessoricharter.org,live,1
ghirigoro.it,live,2
giardinodelsapere.it,live,1
gigglesaddis.com,live,1
gilpin.k12.co.us,live,1
givingtreemontessori.org,live,1
glenabbeymontessori.com,live,1
glenashtonmontessori.com,live,1
glendowiemontessori.net.nz,live,1
glenmontessori.org,live,1
glenpark-montessori.com,live,1
globalmontessori.com,live,1
globalmontessorischool.org,live,2
glowfieldschool.com,live,1
gma.k12.in.us,live,1
gmail.com,live,630
gmail.it,live,1
gmamt.org,live,1
gmis-berkeley.com,live,1
gmx.de,live,4
gmx.net,live,2
gol.com,live,1
goldcoastmontessorichildcare.com,live,1
goldenbeads.org.nz,live,1
goldengrove.school.nz,live,1
goldenrodmontessori.org,live,1
goldmaterial.com,live,1
goodschool.co,live,1
goodshepherdvancouver.org,live,1
goodtreeacademy.org,live,1
goodwatermontessori.org,live,1
googlemail.com,live,2
gorerangemontessori.com,live,2
gotha.de,live,1
gpa-international.com,live,1
gpacharter.org,live,1
gpisd.org,live,1
gracemontessori.co.uk,live,1
gracemontessori.org,live,1
gracemontessorischool.es,live,1
grandforksmontessori.com,live,1
grandlakemontessori.com,live,1
greatlakesmontessori.ca,live,2
greatminds.ae,live,1
greatmontessori.com,live,1
greatriverschool.org,live,1
greenbrook-montessori.com,live,1
greenhedges.org,live,1
greenivy.com,live,2
greenspringmontessori.org,live,1
greenvalleymontessori.com,live,1
greenvalleyschool.com,live,1
greylynn.busybees.org.nz,live,1
greystonesmontessori.ie,dead,1
groearlylearning.com.au,live,4
grovelyss.eq.edu.au,live,1
growing-minds-montessori.com,live,1
growinglight.net,live,1
growingwonders.org,live,1
growmontessori.org,live,1
grps.org,live,4
grundschule-poessneck.de,dead,1
gscmontessori.org,live,1
gsms.org,live,2
gtms.org,live,1
guadalupemontessori.org,live,1
guideacademy.org,live,1
guideandgrow.com,live,1
guidepostmontessori.com,live,24
gvl.vic.edu.au,live,1
gwd50.org,live,1
habitatlearning.com.au,live,3
hagenschule.info,live,2
hagerhof.de,live,1
haggardchildcare.com,live,1
hamiltonmontessori.ca,live,1
hamiltonparkmontessori.com,live,1
hamlin.esc14.net,live,1
hanmail.net,live,3
happyforeverschool.com,live,1
happyhearts.rw,live,1
happymindsmontessori.com,live,1
harbormontessori.org,live,2
harlemvillage.org,live,1
harmonymontessori.co.in,live,1
harpethmontessori.com,live,1
hartfordschools.org,live,2
hatfieldmontessori.co.za,live,1
havenmontessori.org,live,1
hawaii.rr.com,live,1
hawaiimontessori.org,live,2
hawkmeadowmontessori.com,live,1
haywardtwinoaks.org,live,1
hcacs.net,live,1
hcmontessori.org,live,1
hcmontessori.vic.edu.au,live,1
hcps.net,live,1
hdmsreno.com,live,1
headlandmontessori.com.au,live,1
headstart.edu.in,live,2
headstartmontessori.ca,live,1
headstartmontessori.com.au,live,1
headsup.org,live,3
headwaterhills.org,live,1
headwaters.org,live,1
healthybeginningsmontessori.com,live,1
heartandhandsmontessori.com,live,1
heartlandmontessori.org,live,1
heartsgathered.org,live,1
heartwoodaz.org,live,1
heathmontbmel.com.au,live,1
helenaflats.org,live,1
helenaschools.org,live,3
henleymontessori.co.uk,live,1
hermosaschool.org,live,1
herokindercentra.nl,live,1
hgmnursery.co.uk,live,1
highlandcommunityschool.org,live,1
hillkruin.co.za,live,1
hillsmontessori.com,live,1
hilltopmontessori.org,live,3
hiltonmontessori.co.za,live,1
himmelsleiter.de,live,1
himontessori.com,live,1
hml.nl,live,1
hmps.net,live,4
hmskids.com,live,1
hobokenmontessori.com,live,1
hollismontessori.org,live,1
hollistermontessori.com,live,1
holliston.k12.ma.us,live,2
hollyhockmontessori.org,live,1
hollytreemontessorinursery.co.uk,live,1
holycomm.org,live,1
holytrinitymontessori.org,live,1
honeycombpreschool.co.za,live,1
hopeacademy.com,live,15
hopesanddreams.co.uk,live,2
hopitutuqaiki.com,live,1
hopscotchmontessori.com,live,1
hosannahousemontessori.co.in,live,1
hotmail.co.nz,live,1
hotmail.co.uk,live,1
hotmail.com,live,34
houstonisd.org,live,4
huckepack-ev.de,live,2
hudsoncountry.org,live,2
hudsonmontessori.net,live,1
hughes.net,live,2
humankind.nl,live,3
humboldtparkmontessori.com,live,1
hummingbirds.cc,live,1
humsci.org,live,1
hundertwasserschule-nv.de,live,1
hvmcps.org,live,1
hvmontessori.org,live,1
hyacinthmontessori.org,live,1
hydeparkmontessori.org,live,1
hymamshu.org,live,1
i-m-smart.co.za,live,1
ibms-frankfurt.com,live,3
iccasier.edu.it,live,1
icdarfo2.it,live,1
icloud.com,live,3
icmuzio.gov.it,dead,1
icpassirano.edu.it,live,1
icsannilo.edu.it,live,1
icubemontessori.com,live,1
iczanella.net,live,1
ifap-apolda.de,live,4
iglou.com,live,1
igniteutah.org,live,1
ilgiardinodellinfanzia.it,live,1
illuminatemontessori.com,live,1
ilmacademy.org,live,1
imaginalia.ie,live,1
imagine-montessori.fr,live,2
imaginemontessori.es,live,1
imapublic.org,live,1
imch.com.au,live,1
ime-do.de,live,1
impactls.com.au,live,1
ims-sotogrande.com,live,1
imsnc.org,live,1
incarnations.co.in,live,1
indabainstitute.org,live,1
indigokid.club,live,1
indigomontessori.com.au,live,8
inepr.com,live,1
inlyschool.org,live,1
inmontessori.com,live,1
innoord.nl,live,1
innovationmontessori.com,live,1
inspire.edu.au,live,17
inspirechildren.com,live,3
inspiring-education.eu,live,1
integrations-und-waldkiga.de,live,2
interculturalmontessori.org,live,2
internationalmontessori.net,live,1
internationalmontessorischools.com,live,2
invictus-nash.org,live,1
iowacity-montessori.org,live,1
ipsb.education,live,1
iremiamontessori.com,live,1
irvinemontessori.com,live,4
islandmontessorischool.com,live,1
islandvillage.org,live,1
isms.nsw.edu.au,live,1
isnaples.it,live,1
isobscholen.nl,live,1
issaquahmontessori.com,live,1
istruzione.it,live,163
istruzione.itq,dead,1
isw.info,live,1
ithacamontessori.org,live,1
iusd.org,live,1
ivylane.ie,live,1
iwacc.org,live,1
iway.na,live,1
jacarandamontesssori.co.za,dead,1
jackandjillmontessori.ie,live,1
jackson.k12.ms.us,live,1
jacob-maris.nl,live,1
jan-vermeer.nl,live,2
janprinsschool.nl,live,1
jarrow.org,live,1
jeffco.k12.co.us,live,4
jefferson.kyschools.us,live,2
jena.de,live,2
jmacarlsbad.com,live,1
jmcss.org,live,2
johannesschule-saalfeld.de,live,1
jolietmontessorischool.org,live,1
jonathanmontessori.org,live,1
jordanmlu.nl,live,1
journeymontessorischool.org,live,1
joyfulmontessori.com.au,live,1
joyfulscholars.org,live,1
joyparkmontessori.com,live,1
joyspringmontessori.co.za,live,1
jpsk12.org,live,1
jubileemontessori.co.za,live,1
judymontessori.com,live,1
jugendsozialwerk.de,live,3
jumbokids.com,live,1
juneaumontessori.org,live,1
juneauschools.org,live,1
junioracademy.fr,live,1
jus-or.de,live,1
k12.dc.gov,live,3
k12northstar.org,live,1
kabanmontessori.ca,live,2
kadriorumontessorikool.ee,live,1
